Company Name,Ticker Symbol,Industry Name,SIC Code,Exchange Code,Size class,Stock Price,Trading Volume,# of shares outstanding,Market Cap,Total Debt,Firm Value,Enterprise Value,Cash,Revenues: Last yr,Trailing 12-mth Revenues,Current PE,Trailing PE,Forward EPS,Forward PE,PEG Ratio,PBV Ratio,PS Ratio,EV/EBIT,EV/EBITDA,EV/ Invested Capital,Value/BV of Capital,EV/Sales,EV/ Trailing Sales,Growth in EPS: Last 5 years,Expected Growth in EPS: next 5 years,Expected Growth in Revenues: next 5 years,Growth in Revenue- last year, 3-yr Regression Beta,Value Line Beta,HiLo risk,3-yr Standard Deviation (Stock Price),Reinvestment,Correlation,Payout Ratio,Reinvestment Rate,ROE,ROC,Net Margin,Pre-tax Operating Margin,Invested Capital,Book Value of Equity,BV of Assets,Non-cash WC,Chg in non-cash WC,Net Income,EBIT,EBIT(1-t),EBITDA,FCFF,Eff Tax Rate,Eff Tax Rate (+ve income),Non-cash WC as % of Revenues,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,SG&A Expenses,Trailing Revenues,Trailing Net Income,Dividends,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital,Dividend Yield,Insider Holdings,Institutional Holdings,Fiscal Year End Date
Reinsurance Group,RGA,Insurance (Life),6310,NYS,9,$52.25,531744,73.4,"$3,784.20","$1,016.40","$4,800.60","$4,218.60",$582.00,NA,NA,7.51,6.76,$7.63,6.85,0.88,0.75,NA,0.63,0.63,0.77,0.79,NA,NA,13.00%,8.50%,NA,NA,1.39,0.95,0.1820,31.73%,$0.00,0.7485,10.44%,0.00%,10.00%,80.87%,NA,NA,5475,5040.6,29081.9,$0.00,NA,$504.00,"$6,659.70","$4,427.77","$	6,659.70","$4,427.77",33.51%,33.52%,NA,12.12%,NA,2.00%,$0.00,$0.00,$0.00,NA,$559.80,$52.60,0.00%,0.00%,26.86%,21.17%,16.78%,1.39%,1.60%,91.63%,12/31/10
Regal Entertainment,RGC,Recreation,7900,NYS,8,$11.94,1979321,154.3,"$1,893.50","$1,993.50","$3,887.00","$3,681.70",$205.30,"$2,807.90","$2,728.80",40.98,37.95,$0.71,16.82,3.04,NA,0.67,15.75,8.23,2.84,2.59,1.31,1.35,-10.50%,13.50%,2.50%,-3.16%,0.9,0.90,0.1495,34.32%,-$108.46,0.6556,279.11%,-74.83%,NA,11.17%,1.65%,8.32%,1297.9,-490.3,2492.6,-$232.00,$6.54,$46.20,$233.70,$144.96,$	447.10,$253.42,37.97%,37.57%,-8.26%,5.28%,7.31%,8.24%,$98.40,$213.40,$66.70,"$2,728.80",$49.90,$128.95,8.06%,67.82%,105.28%,51.29%,NA,6.81%,NA,59.23%,12/30/10
RGC Resources Inc,RGCO,Natural Gas Utility,4920,NDQ,4,$17.75,2214,4.5,$82.20,$28.00,$110.20,$103.50,$6.70,$73.80,$70.80,18.68,17.49,NA,NA,NA,1.78,1.11,10.15,7.29,1.53,1.48,1.40,1.46,6.50%,NA,NA,-11.56%,-0.07,0.45,0.1424,13.31%,$1.71,0.8000,71.36%,26.94%,9.50%,9.40%,5.96%,13.82%,67.6,46.3,120.7,$7.10,-$0.29,$4.40,$10.20,$6.35,$	14.20,$4.64,37.71%,38.03%,9.62%,6.08%,9.08%,5.55%,$6.00,$4.00,$0.00,$70.80,$4.70,$3.14,0.00%,67.52%,34.06%,25.41%,37.69%,3.82%,NA,13.08%,9/30/10
Response Genetics Inc,RGDX,Drug,2834,NDQ,3,$1.53,10422,18.4,$26.20,$0.00,$26.20,$22.10,$4.10,$21.30,$21.30,NA,NA,NA,NA,NA,5.70,1.23,NA,NA,44.20,5.70,1.04,1.04,NA,NA,NA,95.45%,0.28,0.75,0.5803,66.65%,-$0.10,0.2813,NA,NA,-102.17%,-983.95%,-22.07%,-23.10%,0.5,4.6,10.6,-$0.30,$0.00,-$4.70,-$4.92,-$4.92,$	(4.42),-$4.82,0.00%,NA,-1.41%,15.65%,19.25%,38.68%,$0.40,$0.50,$14.10,$21.30,-$4.70,$0.00,0.00%,7.55%,0.00%,0.00%,0.00%,0.00%,NA,42.58%,12/31/10
Repligen Corp.,RGEN,Biotechnology,2830,NDQ,5,$3.47,78674,30.8,$106.60,$0.00,$106.60,$57.00,$49.60,$27.30,$29.30,NA,NA,NA,NA,NA,1.59,3.90,NA,43.85,3.26,1.59,2.09,1.95,NA,NA,NA,29.87%,0.47,0.85,0.2978,41.11%,-$1.08,0.5169,NA,NA,,-2.29%,NA,-1.47%,17.5,67.1,72.3,$1.70,$0.12,NA,-$0.40,-$0.40,$	1.30,$0.68,0.00%,NA,6.23%,46.53%,181.68%,68.60%,$0.50,$1.70,$20.50,$29.30,-$1.10,$0.00,3.04%,3.04%,0.00%,0.00%,0.00%,0.00%,NA,38.12%,3/31/11
Royal Gold,RGLD,Precious Metals,1041,NDQ,9,$67.43,727307,55.1,"$3,829.20",$226.10,"$4,055.30","$3,941.10",$114.20,$216.50,$235.70,53.63,46.64,$2.12,31.81,3.72,2.62,17.69,33.15,21.15,2.51,2.40,18.20,16.72,11.50%,14.41%,NA,57.73%,0.51,0.75,0.2979,42.51%,$216.31,0.4411,33.79%,273.65%,4.89%,5.03%,32.98%,54.92%,1572.1,1460.2,1902.7,$41.80,$3.71,$71.40,$118.90,$79.05,$	186.30,-$137.26,33.52%,38.61%,19.31%,2.82%,52.75%,6.00%,$280.00,$67.40,$21.10,$235.70,$82.10,$24.12,0.00%,88.84%,5.90%,5.58%,13.41%,0.63%,NA,66.75%,6/30/11
Regeneca Inc,RGNA,Food Processing,2000,NDQ,1,$0.01,532109,43.5,$0.50,$1.40,$1.90,$1.80,$0.10,$2.40,$1.40,NA,NA,NA,NA,NA,NA,0.21,NA,NA,NA,NA,0.75,1.29,NA,NA,NA,50.51%,2.2,1.05,0.7500,150.95%,$0.19,0.1739,NA,NA,NA,NA,-300.00%,-180.21%,-0.2,-1.5,0.9,-$0.70,$0.29,-$7.20,-$4.32,-$4.32,$	(4.22),-$4.52,0.00%,NA,-29.17%,5.26%,4.17%,11.11%,$0.00,$0.10,$8.10,$1.40,-$7.40,$0.00,0.00%,11.11%,280.00%,73.68%,NA,0.00%,NA,NA,12/31/08
Regency Energy Partners LP,RGP,Oilfield Svcs/Equip.,3533,NDQ,9,$24.86,425923,137.3,"$3,519.10","$1,141.10","$4,660.20","$4,650.80",$9.40,"$1,221.70","$1,386.90",NA,73.16,$0.49,50.73,NA,1.17,2.88,132.13,30.34,1.13,1.13,3.81,3.35,NA,4.00%,NA,-21.25%,NA,1.15,0.1679,NA,$98.88,NA,NA,280.92%,-0.33%,0.85%,-0.81%,2.88%,4132.3,3000.6,4770.2,-$44.50,-$6.02,-$9.90,$35.20,$35.20,$	153.30,-$63.68,0.00%,NA,-3.64%,0.20%,0.77%,0.20%,$223.00,$118.10,$81.00,"$1,386.90",$48.10,$265.34,32.70%,34.80%,32.43%,24.49%,27.55%,7.54%,NA,44.26%,12/31/10
Sturm Ruger & Co.,RGR,Recreation,7900,NYS,7,$33.46,194327,18.8,$636.60,$0.00,$636.60,$579.00,$57.60,$255.20,$299.60,22.49,18.09,$2.16,15.49,1.55,5.56,2.49,13.22,10.92,10.18,5.56,2.27,1.93,47.00%,14.50%,8.00%,-4.64%,0.01,0.80,0.4311,51.10%,$12.69,0.3914,38.47%,45.26%,24.72%,49.26%,11.09%,17.16%,56.9,114.5,157.8,$14.30,$2.49,$28.30,$43.80,$28.03,$	53.00,$15.34,36.00%,35.83%,5.60%,9.05%,22.57%,36.50%,$19.40,$9.20,$40.20,$299.60,$35.20,$10.89,0.00%,27.19%,0.00%,0.00%,0.00%,1.71%,6.70%,80.19%,12/31/10
ReGenerRx Biopharmaceuticals,RGRX,Drug,2834,NDQ,2,$0.14,102972,73.5,$8.10,$0.00,$8.10,$4.30,$3.80,$0.90,$2.00,NA,NA,NA,NA,NA,2.25,9.00,NA,NA,NA,NA,4.78,2.15,NA,NA,NA,NA,NA,1.05,0.6410,NA,-$0.24,NA,NA,NA,-138.89%,NA,-555.56%,-1312.93%,-0.2,3.6,4.2,-$0.20,-$0.24,-$5.00,-$11.82,-$11.82,$	(11.82),-$11.57,0.00%,NA,-22.22%,46.91%,422.22%,90.48%,$0.00,$0.00,$5.90,$2.00,-$5.60,$0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,NA,0.07%,12/31/10
Regis Corp.,RGS,Toiletries/Cosmetics,2844,NYS,7,$16.55,555070,57.6,$957.10,$440.00,"$1,397.10","$1,245.20",$151.90,"$2,358.40","$2,316.40",12.66,14.66,NA,NA,6.33,0.94,0.41,7.47,4.81,0.96,0.96,0.53,0.54,-4.50%,2.00%,-3.00%,-25.99%,0.69,1.20,0.2129,42.49%,-$35.74,0.7060,17.98%,-41.32%,7.46%,6.65%,3.21%,7.06%,1301.4,1013.3,1919.6,$58.50,-$1.04,$75.60,$166.60,$86.51,$	259.10,$122.25,48.08%,38.39%,2.48%,10.87%,6.44%,7.91%,$57.80,$92.50,$292.00,"$2,316.40",$65.30,$13.59,44.55%,18.72%,45.97%,31.49%,30.28%,1.42%,1.30%,NA,6/30/10
REGI U.S.Inc,RGUS,Machinery,3500,NDQ,1,$0.14,9717,28.8,$4.60,$1.30,$5.90,$5.90,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.86,0.55,0.9231,73.47%,$0.00,0.1872,NA,NA,NA,NA,NA,NA,-0.3,-1.6,NA,-$0.30,NA,-$0.60,NA,NA,NA,NA,0.00%,NA,NA,0.00%,NA,NA,$0.00,$0.00,$0.60,NA,NA,$0.00,NA,NA,28.26%,22.03%,NA,0.00%,NA,NA,4/30/11
Renegy Holdings Inc,RGYH,Environmental,4953,NDQ,1,$0.10,8453,6.4,$0.80,$51.70,$52.50,$36.70,$15.80,$1.10,$4.80,NA,NA,NA,NA,NA,0.03,0.73,NA,NA,0.59,0.68,33.36,7.65,NA,NA,NA,NA,1.13,0.50,0.6667,235.62%,$42.31,0.0531,NA,NA,-39.62%,-51.48%,-936.36%,-2896.65%,61.9,26,88.2,$2.50,$8.41,-$10.30,-$31.86,-$31.86,$	(31.06),-$74.17,0.00%,NA,227.27%,30.10%,1436.36%,17.91%,$34.70,$0.80,$4.80,$4.80,-$14.90,$0.00,0.00%,68.93%,6462.50%,98.48%,66.54%,0.00%,NA,NA,12/31/07
Robert Half Int'l,RHI,Human Resources,7363,NYS,9,$28.46,1704924,146.2,"$4,048.60",$1.80,"$4,050.40","$3,735.30",$315.10,"$3,175.10","$3,655.20",61.25,30.76,$1.29,22.06,3.06,4.85,1.28,32.59,21.90,7.17,4.84,1.18,1.02,1.00%,20.00%,7.50%,6.32%,1.55,1.10,0.2701,39.90%,$16.66,0.6892,121.27%,25.34%,7.92%,12.62%,2.08%,3.61%,521.1,834.4,1274,$248.40,$37.56,$66.10,$114.60,$65.74,$	170.60,$49.08,42.63%,42.62%,7.82%,7.78%,9.92%,24.73%,$35.10,$56.00,"$1,079.00","$3,655.20",$131.60,$80.16,14.91%,8.14%,0.04%,0.04%,0.22%,1.98%,7.80%,89.39%,12/31/10
Red Hat Inc.,RHT,Computer Software,3579,NYS,9,$41.29,2469090,193,"$7,866.00",$0.00,"$7,866.00","$7,005.40",$860.60,$909.30,"$1,080.80",73.31,54.59,$1.23,33.57,2.62,6.09,8.65,48.08,36.17,16.29,6.09,7.70,6.48,13.50%,28.00%,17.00%,17.93%,0.84,1.15,0.2541,39.49%,-$68.23,0.7280,0.00%,-67.09%,8.31%,23.65%,11.80%,16.02%,430.1,1290.7,2199.3,-$355.90,-$67.13,$107.30,$145.70,$101.70,$	193.70,$169.92,30.20%,30.19%,-39.14%,10.94%,94.64%,39.13%,$46.90,$48.00,$613.30,"$1,080.80",$144.10,$0.00,21.08%,3.44%,0.00%,0.00%,0.00%,0.00%,1.00%,96.73%,2/28/11
Richmont Mines,RIC.TO,Precious Metals,1041,TSE,6,$10.94,137687,26.1,$287.90,$0.00,$287.90,$266.00,$21.90,$71.90,$112.50,959.67,11.80,NA,NA,NA,4.23,4.00,177.33,35.95,5.77,4.23,3.70,2.36,-18.00%,NA,NA,1.88%,-0.3,0.90,0.5156,63.16%,$3.85,0.3562,0.00%,641.75%,0.44%,1.30%,0.42%,2.09%,46.1,68,85.2,$3.10,$1.75,$0.30,$1.50,$0.60,$	7.40,-$3.25,60.00%,83.33%,4.31%,7.61%,30.46%,25.70%,$8.00,$5.90,$3.70,$112.50,$24.40,$0.00,0.00%,58.10%,0.00%,0.00%,0.00%,0.00%,NA,23.90%,12/31/09
Rick's Cabaret Intl,RICK,Restaurant,5812,NDQ,4,$8.46,61895,9.8,$85.30,$42.70,$128.00,$108.80,$19.20,$83.00,$86.00,15.80,10.53,$0.94,9.00,NA,1.15,1.03,4.03,3.54,1.11,1.09,1.31,1.27,71.00%,NA,NA,0.41%,2.08,1.40,0.3078,63.73%,$2.10,0.5492,0.00%,13.20%,7.27%,16.28%,6.51%,32.53%,97.8,74.3,148.4,-$5.50,-$0.20,$5.40,$27.00,$15.92,$	30.70,$13.82,41.04%,44.33%,-6.63%,15.00%,23.13%,12.94%,$6.00,$3.70,$23.50,$86.00,$8.10,$0.00,42.65%,40.16%,50.06%,33.36%,36.50%,0.00%,NA,21.95%,9/30/10
Transocean Ltd.,RIG,Oilfield Svcs/Equip.,3533,NYS,10,$38.39,5516741,319.1,"$12,806.90","$11,221.00","$24,027.90","$20,633.90","$3,394.00","$9,576.00","$8,880.00",7.41,20.71,$1.54,24.93,2.96,0.60,1.34,7.87,4.90,0.71,0.74,2.15,2.32,71.50%,2.50%,6.00%,-16.58%,0.92,1.35,0.3847,44.26%,-$249.01,0.7625,58.48%,-11.17%,8.08%,7.63%,18.05%,27.37%,29210,21383,36811,$977.00,-$71.01,"$1,728.00","$2,621.00","$2,228.61","$	4,210.00","$2,477.62",14.97%,16.28%,10.20%,14.13%,35.44%,9.22%,"$1,411.00","$1,589.00",$247.00,"$8,880.00",$618.40,"$1,010.46",22.09%,58.29%,87.62%,46.70%,34.42%,7.89%,1.00%,58.31%,12/31/10
RightSmile Inc,RIGH,Medical Services,8000,NDQ,2,$0.00,36164692,0,$15.90,$0.00,$15.90,$15.90,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10,1.0000,NA,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,0.00%,NA,NA,$0.00,$0.00,$0.00,NA,NA,$0.00,NA,NA,0.00%,0.00%,NA,0.00%,NA,NA,1/1/70
Rigel Pharmaceuticals Inc,RIGL,Drug,2834,NDQ,7,$7.89,350635,52.3,$575.60,$0.80,$576.40,$399.10,$177.30,$125.00,$4.80,15.19,NA,NA,NA,NA,3.47,4.60,11.31,10.90,NA,NA,3.19,83.15,NA,NA,NA,NA,1.11,1.20,0.2279,55.66%,$9.99,0.5390,0.00%,28.31%,22.82%,NA,30.32%,28.24%,-10.4,166.1,186.7,-$8.00,$7.69,$37.90,$35.30,$35.30,$	36.60,$25.31,0.00%,0.00%,-6.40%,30.76%,141.84%,94.97%,$3.60,$1.30,$25.30,$4.80,-$77.40,$0.00,0.00%,2.41%,0.14%,0.14%,0.48%,0.00%,NA,96.68%,12/31/10
Royal Invest Int'l,RIIC,Property Management,6510,NDQ,1,$0.01,6010,150.2,$1.50,$135.40,$136.90,$136.40,$0.50,$9.80,$7.80,NA,NA,NA,NA,NA,NA,0.15,194.86,41.33,1.67,1.66,13.92,17.49,NA,NA,NA,-13.82%,-0.15,1.90,0.8182,195.38%,$0.11,0.2431,NA,15.45%,NA,0.86%,-448.98%,7.14%,81.8,-53.1,97.5,-$11.80,$2.41,-$44.00,$0.70,$0.70,$	3.30,$0.59,0.00%,NA,-120.41%,0.37%,5.10%,0.51%,$0.30,$2.60,$3.40,$7.80,-$20.00,$0.00,0.00%,95.59%,9026.67%,98.90%,NA,0.00%,NA,NA,12/31/09
Rimage Corp.,RIMG,Computers/Peripherals,3573,NDQ,5,$11.25,32681,9.5,$104.10,$0.00,$104.10,-$12.70,$116.80,$88.70,$86.70,13.70,15.31,NA,NA,NA,0.81,1.17,NA,NA,-1.12,0.81,-0.14,-0.15,-1.00%,NA,NA,6.53%,0.31,0.80,0.2296,27.25%,$2.02,0.7339,0.00%,27.77%,5.93%,64.48%,8.57%,13.08%,11.3,128.1,148,$3.40,-$0.08,$7.60,$11.60,$7.29,$	13.70,$5.26,37.19%,37.19%,3.83%,112.20%,131.68%,78.92%,$4.20,$2.10,$31.90,$86.70,$6.80,$0.00,0.00%,5.07%,0.00%,0.00%,0.00%,0.00%,NA,68.49%,12/31/10
Research in Motion,RIMM,Wireless Networking,7380,NDQ,9,$14.50,18942855,523.9,"$7,334.20",$0.00,"$7,334.20","$5,213.20","$2,121.00","$19,907.00","$19,801.00",2.15,2.70,$4.70,3.09,0.61,0.82,0.37,1.12,0.94,0.76,0.82,0.26,0.26,53.50%,3.50%,10.00%,41.26%,1.59,1.30,0.7000,67.98%,$102.75,0.4781,0.00%,3.02%,38.16%,49.95%,17.13%,23.29%,6817,8938,12875,"$1,737.00",-$9.25,"$3,411.00","$4,636.00","$3,405.14","$	5,563.00","$3,302.39",26.55%,26.55%,8.73%,28.92%,10.65%,16.47%,"$1,039.00",$927.00,"$4,189.00","$19,801.00","$2,715.00",$0.00,17.91%,19.45%,0.00%,0.00%,0.00%,0.00%,11.00%,54.25%,2/26/11
AgriVest Americas Inc.,RIMSD,Computer Software,3579,NDQ,1,$0.02,5767,2.4,$0.05,$0.00,$0.05,$0.05,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.96,NA,0.7500,124.19%,$0.00,NA,NA,NA,NA,NA,NA,NA,-0.1,-0.1,NA,-$0.10,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,0.00%,NA,NA,$0.00,$0.00,$0.00,NA,-$0.10,$0.00,NA,NA,0.00%,0.00%,NA,0.00%,NA,NA,5/31/11
RINO International Corp,RINO,Environmental,4953,NDQ,1,$1.75,129598,28.6,$0.90,$1.50,$2.40,-$132.10,$134.50,$192.60,$219.00,0.02,0.01,NA,NA,NA,0.00,0.00,NA,NA,-1.38,0.01,-0.69,-0.60,NA,NA,NA,21.02%,NA,1.60,0.9952,NA,$11.46,NA,0.00%,20.69%,24.67%,57.95%,29.28%,28.76%,95.6,228.6,259.1,$90.90,$12.46,$56.40,$55.40,$55.40,$	56.40,$43.94,0.00%,0.00%,47.20%,5604.17%,69.83%,51.91%,$0.00,$1.00,$16.90,$219.00,$65.10,$0.00,0.42%,4.75%,166.67%,62.50%,0.65%,0.00%,NA,0.04%,12/31/09
Rio Tinto plc,RIO,Metals & Mining (Div.),1000,NYS,10,$48.92,0,1962.1,"$97,220.60","$14,341.00","$111,561.60","$101,613.60","$9,948.00","$56,576.00",NA,6.74,NA,$9.24,5.29,0.36,1.67,1.72,5.16,4.39,1.62,1.54,1.80,NA,17.00%,18.50%,5.50%,35.11%,1.43,1.60,0.3087,43.11%,"$1,154.00",0.8000,18.20%,7.89%,24.72%,23.32%,25.49%,34.81%,62726,58333,112402,$780.00,NA,"$14,421.00","$19,694.00","$14,625.36","$	23,131.00","$13,471.36",25.74%,29.92%,1.38%,8.92%,17.58%,8.85%,"$4,591.00","$3,437.00",$0.00,NA,NA,"$2,624.96",18.68%,49.84%,14.75%,12.85%,19.73%,2.70%,NA,4.25%,12/31/10
RIT Technolgies Ltd,RITT,Telecom. Equipment,4811,NDQ,2,$3.36,66093,4,$16.50,$1.80,$18.30,$16.90,$1.40,$11.40,$13.20,NA,NA,NA,NA,NA,5.69,1.45,NA,NA,5.12,3.89,1.48,1.28,NA,NA,NA,-13.66%,1.03,1.15,0.6708,262.62%,$0.42,0.1095,NA,NA,-120.69%,-119.98%,-30.70%,-34.73%,3.3,2.9,9.7,$3.30,$0.52,-$3.50,-$3.96,-$3.96,$	(3.76),-$4.38,0.00%,NA,28.95%,7.65%,12.28%,14.43%,$0.10,$0.20,$8.50,$13.20,-$3.60,$0.00,0.00%,3.09%,10.91%,9.84%,38.30%,0.00%,NA,0.89%,12/31/10
Riverview Financial,RIVE,Bank,6000,NDQ,3,$11.00,0,1.7,$18.80,$10.70,$29.50,$24.00,$5.50,NA,NA,14.46,NA,NA,NA,NA,0.76,NA,3.58,3.58,0.80,0.83,NA,NA,NA,NA,NA,NA,NA,NA,0.3244,NA,$0.00,NA,0.00%,0.00%,5.22%,18.90%,NA,NA,30.1,24.9,275.4,$0.00,NA,$1.30,$6.70,$5.69,$	6.70,$5.69,15.11%,13.33%,NA,18.64%,NA,2.00%,$0.00,$0.00,$3.80,NA,NA,$0.00,0.69%,0.00%,56.91%,36.27%,30.06%,0.00%,NA,1.14%,12/31/10
River Valley Bancorp,RIVR,Bank (Midwest),6001,NDQ,3,$15.50,1170,0,$22.30,$0.00,$22.30,$22.30,$0.00,NA,NA,NA,10.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,0.40,0.1244,35.98%,$0.00,0.2779,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,0.00%,NA,NA,$0.00,$0.00,$0.00,NA,$2.10,$1.27,NA,NA,0.00%,0.00%,NA,5.71%,NA,11.09%,1/1/70
Republic Airways Holdings Inc,RJET,Air Transport,4510,NDQ,5,$3.43,596413,48.2,$184.10,"$2,577.70","$2,761.80","$2,470.70",$291.10,"$2,653.70","$2,816.50",NA,NA,NA,NA,NA,0.30,0.07,5.68,3.86,0.85,0.87,0.93,0.88,-7.00%,3.00%,NA,16.06%,0.82,0.85,0.5185,74.76%,-$122.11,0.2842,NA,-28.07%,-0.39%,15.02%,-0.09%,16.39%,2896.3,609.7,4348.7,-$81.70,-$5.01,-$2.40,$435.00,$435.00,$	639.50,$557.11,0.00%,NA,-3.08%,10.54%,10.97%,6.69%,$87.40,$204.50,$134.80,"$2,816.50",-$29.60,$0.00,3.29%,72.98%,1400.16%,93.33%,80.87%,0.00%,NA,77.63%,12/31/10
Raymond James Fin'l,RJF,Securities Brokerage,6210,NYS,9,$30.96,769086,124.7,"$3,890.90","$2,913.00","$6,803.90",$85.30,"$6,718.60","$2,979.50","$3,399.80",17.04,12.71,$2.65,11.68,1.48,1.69,1.31,0.20,0.19,NA,NA,0.03,0.03,9.50%,11.50%,6.50%,12.98%,1.29,1.45,0.2629,44.25%,-$288.18,0.8000,28.80%,-110.08%,9.91%,NA,7.66%,14.06%,-1502.8,2302.8,17883.1,"-$1,921.00",-$270.98,$228.30,$419.00,$261.79,$	458.50,$549.98,37.52%,35.89%,-64.47%,98.75%,225.49%,37.57%,$22.30,$39.50,$0.00,"$3,399.80",$306.10,$65.76,0.35%,0.96%,74.87%,42.81%,55.85%,1.69%,19.70%,59.53%,9/30/10
Rock-Tenn 'A',RKT,Packaging & Container,2640,NYS,9,$57.70,979845,70.5,"$4,101.90","$3,445.80","$7,547.70","$7,506.00",$41.70,"$5,399.60","$5,399.60",14.78,14.78,$6.00,9.62,0.99,1.22,0.76,14.71,9.52,1.11,1.11,1.39,1.39,48.00%,15.00%,16.00%,-0.68%,1.39,1.15,0.2865,41.06%,-$78.90,0.7002,20.24%,-23.06%,8.23%,5.05%,5.14%,9.45%,6775.7,3371.6,10566,"$1,012.20",$0.00,$277.60,$510.10,$342.12,$	788.40,$421.02,32.93%,34.09%,18.75%,0.55%,0.77%,0.39%,$199.40,$278.30,$541.20,"$5,399.60",$277.60,$56.20,24.97%,52.31%,84.00%,45.65%,50.54%,1.37%,5.50%,86.78%,9/30/11
Rocketinfo Inc.,RKTI,Internet,7370,NDQ,1,$0.00,117920,55,$0.60,$0.40,$1.00,$1.00,$0.00,$0.20,$0.30,NA,NA,NA,NA,NA,NA,3.00,NA,NA,5.00,5.00,5.00,3.33,NA,NA,NA,-53.26%,NA,0.35,NA,NA,-$0.50,NA,NA,NA,NA,-1542.50%,-2600.00%,-1542.50%,0.2,-0.2,1.1,-$1.00,-$0.50,-$5.20,-$3.08,-$3.08,$	(3.08),-$2.58,0.00%,NA,-500.00%,0.00%,0.00%,0.00%,$0.00,$0.00,$2.00,$0.30,-$1.30,$0.00,90.91%,9.09%,66.67%,40.00%,NA,0.00%,NA,NA,12/31/07
Ralph Lauren,RL,Apparel,2300,NYS,10,$138.08,1149938,94.5,"$12,522.80",$369.50,"$12,892.30","$11,845.40","$1,046.90","$5,660.30","$6,358.10",22.06,19.00,$6.95,19.87,1.92,3.79,2.21,13.93,11.34,4.51,3.51,2.09,1.86,15.00%,11.50%,11.00%,18.14%,1.49,1.20,0.2331,36.12%,$134.76,0.8000,13.02%,23.05%,17.18%,22.25%,10.03%,15.02%,2627.3,3304.7,4981.1,$599.10,$73.86,$567.60,$850.20,$584.66,"$	1,044.30",$449.90,31.23%,31.23%,10.58%,8.12%,18.50%,21.02%,$255.00,$194.10,"$2,442.70","$6,358.10",$659.20,$73.88,28.19%,15.84%,2.95%,2.87%,10.06%,0.59%,2.20%,67.94%,4/2/11
RealD Inc.,RLD,Entertainment Tech,3663,NYS,6,$7.94,770618,54.2,$471.00,$2.30,$473.30,$456.40,$16.90,$246.10,$263.90,NA,28.90,$0.48,16.54,NA,3.29,1.91,NA,57.77,3.55,3.25,1.85,1.73,NA,NA,NA,NA,NA,NA,0.6387,NA,$86.59,NA,NA,NA,-5.16%,-6.06%,-3.01%,-3.17%,128.7,143.3,280.1,-$4.30,-$0.31,-$7.40,-$7.80,-$7.80,$	7.90,-$94.39,0.00%,NA,-1.75%,3.57%,6.87%,6.03%,$102.60,$15.70,$75.60,$263.90,$16.30,$0.00,4.50%,46.45%,0.49%,0.49%,1.58%,0.00%,NA,69.30%,3/25/11
Radiant Logistics Inc,RLGT,Air Transport,4510,NDQ,4,$2.40,41937,31.7,$77.30,$12.70,$90.00,$89.60,$0.40,$203.80,$229.20,23.42,26.66,$0.11,21.82,NA,12.67,0.38,15.45,12.62,4.87,4.79,0.44,0.39,NA,NA,NA,37.17%,0.61,0.45,0.4783,87.68%,$0.10,0.1283,0.00%,2.77%,54.10%,19.05%,1.62%,2.85%,18.4,6.1,56.6,$8.00,$1.00,$3.30,$5.80,$3.51,$	7.10,$3.41,39.56%,43.10%,3.93%,0.44%,0.20%,0.71%,$0.40,$1.30,$47.70,$229.20,$2.90,$0.00,16.78%,2.47%,16.43%,14.11%,67.55%,0.00%,NA,0.41%,6/30/11
Red Lion Hotels Corp,RLH,Hotel/Gaming,7000,NYS,5,$6.93,42729,18.9,$133.70,$126.00,$259.70,$255.70,$4.00,$163.50,$162.80,NA,10.70,-$0.32,NA,NA,0.78,0.82,182.64,11.47,0.87,0.88,1.56,1.57,NA,10.00%,NA,-6.01%,1.1,0.95,0.2152,48.42%,-$10.26,0.4905,NA,-732.96%,-1.46%,0.48%,-1.53%,0.86%,292.8,170.8,331.5,-$9.00,$0.04,-$2.50,$1.40,$1.40,$	22.30,$11.66,0.00%,NA,-5.50%,1.54%,2.45%,1.21%,$10.60,$20.90,$6.30,$162.80,$12.50,$0.00,10.86%,82.05%,94.24%,48.52%,42.45%,0.00%,NA,43.95%,12/31/10
